,X,Y
131,-0.016226307,0.046797246
132,0.046797246,0.047562443
133,0.047562443,-0.08459478
134,-0.08459478,-0.07315336
135,-0.07315336,-0.07166372
136,-0.07166372,-0.12208688
137,-0.12208688,-0.26249394
138,-0.26249394,-0.31865233
139,-0.31865233,-0.38064197
140,-0.38064197,-0.33046293
141,-0.33046293,-0.18093647
142,-0.18093647,-0.48845237
143,-0.48845237,-0.49280968
144,-0.49280968,-0.6202075
145,-0.6202075,-0.6537021
146,-0.6537021,-0.6180228
147,-0.6180228,-0.62824684
148,-0.62824684,-0.30651405
149,-0.30651405,-0.14901692
150,-0.14901692,-0.11459267
151,-0.11459267,-0.04641626
152,-0.04641626,-0.028268332
153,-0.028268332,-0.1111649
154,-0.1111649,-0.16649038
155,-0.16649038,-0.23014948
156,-0.23014948,-0.26820558
157,-0.26820558,-0.3542437
158,-0.3542437,-0.35208172
159,-0.35208172,-0.22942536
160,-0.22942536,-0.1576864
161,-0.1576864,-0.18272294
162,-0.18272294,-0.30306745
163,-0.30306745,-0.24836345
164,-0.24836345,-0.15307997
165,-0.15307997,-0.09518883
166,-0.09518883,-0.13095959
167,-0.13095959,-0.22932649
168,-0.22932649,-0.3820082
169,-0.3820082,-0.32975304
170,-0.32975304,-0.26417312
171,-0.26417312,-0.14644355
172,-0.14644355,-0.0735913
173,-0.0735913,-0.14042503
174,-0.14042503,-0.24205345
175,-0.24205345,-0.14864612
176,-0.14864612,-0.3280663
177,-0.3280663,-0.22356392
178,-0.22356392,-0.3299914
179,-0.3299914,-0.445796
180,-0.445796,-0.51796407
181,-0.51796407,-0.5183194
182,-0.5183194,-0.49033952
183,-0.49033952,-0.3652622
184,-0.3652622,-0.27610615
185,-0.27610615,-0.3450803
186,-0.3450803,-0.3552904
187,-0.3552904,-0.35923982
188,-0.35923982,-0.36457327
189,-0.36457327,-0.10556492
190,-0.10556492,-0.18141165
191,-0.18141165,-0.20311898
192,-0.20311898,-0.19552667
193,-0.19552667,-0.07662319
194,-0.07662319,-0.15969566
195,-0.15969566,-0.13809727
196,-0.13809727,-0.31706536
197,-0.31706536,-0.3929408
198,-0.3929408,-0.34990057
199,-0.34990057,-0.37363404
200,-0.37363404,-0.35688522
201,-0.35688522,-0.43880537
202,-0.43880537,-0.53512627
203,-0.53512627,-0.6760771
204,-0.6760771,-0.45790195
205,-0.45790195,-0.59835577
206,-0.59835577,-0.5384836
207,-0.5384836,-0.5991647
208,-0.5991647,-0.5523604
209,-0.5523604,-0.70164394
210,-0.70164394,-0.64102983
211,-0.64102983,-0.4778761
212,-0.4778761,-0.5324697
213,-0.5324697,-0.59646606
214,-0.59646606,-0.42059344
215,-0.42059344,-0.3129778
216,-0.3129778,-0.3518876
217,-0.3518876,-0.35347196
218,-0.35347196,-0.41461706
219,-0.41461706,-0.42897052
220,-0.42897052,-0.22449188
221,-0.22449188,-0.20779091
222,-0.20779091,-0.26557857
223,-0.26557857,-0.19696759
224,-0.19696759,-0.12005855
225,-0.12005855,-0.1869323
226,-0.1869323,-0.17930637
227,-0.17930637,-0.15517697
228,-0.15517697,-0.09933001
229,-0.09933001,-0.23096853
230,-0.23096853,-0.29288888
231,-0.29288888,-0.15878966
232,-0.15878966,-0.16015942
233,-0.16015942,-0.09075995
234,-0.09075995,-0.14176443
235,-0.14176443,0.034033075
236,0.034033075,0.0264112
237,0.0264112,0.041081604
238,0.041081604,0.047178976
239,0.047178976,-0.1065394
240,-0.1065394,-0.1915384
241,-0.1915384,-0.28344062
242,-0.28344062,-0.333779
243,-0.333779,-0.31881437
244,-0.31881437,-0.28861156
245,-0.28861156,-0.43965602
246,-0.43965602,-0.46486846
247,-0.46486846,-0.41629022
248,-0.41629022,-0.3562175
249,-0.3562175,-0.22497588
250,-0.22497588,-0.30426863
251,-0.30426863,-0.27821586
252,-0.27821586,-0.28284344
253,-0.28284344,-0.39763013
254,-0.39763013,-0.39161617
255,-0.39161617,-0.45440888
256,-0.45440888,-0.2712533
257,-0.2712533,-0.24892066
258,-0.24892066,-0.23108724
259,-0.23108724,-0.349019
