,fcn_train_mse,fcn_test_mse,fcn_num_params,ebm_train_mse,ebm_test_mse,ebm_num_params,ebm_test_score,ebm_train_score,fcn_layers,fcn_hidden_dims,fcn_nonlinearity,fcn_batch_size,ebm_feature_dim,ebm_predictor_dim,ebm_batch_size
218,0.0641279448223042,0.09743623675814542,68851,0.06510767378241701,0.10136182913139465,134001,7000.28173828125,6953.60693359375,4,150,relu,128,50,200,128
219,0.057091010276404425,0.06946794500745924,121801,0.038283662677060994,0.07144312930606414,273001,3877.118408203125,4337.2333984375,4,200,tanh,64,300,200,128
220,0.05005375395387173,0.06274147522174642,182401,0.047760565707499224,0.075345296418776,38701,1918.37158203125,2096.599609375,3,300,tanh,64,150,50,128
221,0.052846616147589065,0.10600518643832692,121801,0.04250312145820471,0.07221476795068686,114301,9167.6015625,9281.8994140625,4,200,relu,128,150,150,64
222,0.06317452790632992,0.08950390429541291,46201,0.04692243160648711,0.08108399224312365,51201,4150.36376953125,4692.10791015625,3,150,tanh,64,100,100,64
223,0.11725775795665752,0.15411989862131764,5401,0.04977812418059995,0.09276184419774802,78701,10071.6884765625,10055.0810546875,3,50,tanh,32,50,150,32
224,0.07840063853614938,0.11802219106988714,20801,0.05828826697276562,0.08847522174450027,78701,7786.7744140625,7770.99560546875,3,100,tanh,64,50,150,128
225,0.09299719162857113,0.1274383245610212,5401,0.03904415244645911,0.06661283246223756,453601,6712.052734375,6384.13818359375,3,50,relu,128,300,300,128
226,0.10012757215406375,0.10937476979918638,11851,0.04078763728757061,0.06676463964162091,312401,10901.2255859375,10700.5634765625,3,75,tanh,32,100,300,32
227,0.11448425644378697,0.1417469590642371,5401,0.03706018652306375,0.06586368335596612,59001,2701.5517578125,3183.99755859375,3,50,tanh,128,200,50,32
228,0.11991228194580256,0.14024973276723463,11851,0.0383756967972275,0.6486233500224793,340201,10296.3427734375,10293.501953125,3,75,tanh,128,150,300,32
229,0.10249382152277145,0.14329443703232025,10701,0.03883329358589462,0.07311370497462345,59001,3607.232177734375,3874.340087890625,2,100,relu,64,200,50,64
230,0.08087738302092858,0.11669064551443999,41401,0.03195281461664299,0.06260364567082133,152401,2418.513916015625,3005.028564453125,2,200,relu,128,300,100,32
231,0.07145187242164258,0.10359226480108372,92101,0.05288048714083094,0.08687465970515705,44176,7357.6787109375,7393.5869140625,2,300,relu,128,75,100,64
232,0.07933001730023338,0.10844107530916784,92101,0.042286485425239995,0.06356002785116634,94001,10287.076171875,10350.8017578125,2,300,relu,32,100,150,32
233,0.13286718927950616,0.16343676664363932,2851,0.04406906498054432,0.07356785034793625,205201,1237.7216796875,1097.5494384765625,2,50,relu,64,300,150,128
234,0.05931759159825559,0.08242526901063493,30901,0.06221127121505479,0.09713471678053265,289601,10044.517578125,10032.68359375,4,100,tanh,128,50,300,64
235,0.07135756238975699,0.08019186615554312,17551,0.03329798426862477,0.07309088117268385,453601,5828.68994140625,6110.470703125,4,75,tanh,64,300,300,64
236,0.1334906395141148,0.13816162557210754,2851,0.05097633411693927,0.08671414499245392,78701,8261.3037109375,8275.0693359375,2,50,tanh,64,50,150,64
237,0.11923406679521636,0.1677500184332777,2851,0.04444414432516259,0.07193427999408632,94001,9435.5576171875,9440.5078125,2,50,relu,32,100,150,64
238,0.07570853657286614,0.09660054130796646,46201,0.04687163607582372,0.0771304115716403,174601,7828.12744140625,7784.0048828125,3,150,relu,32,150,200,128
239,0.10091902902795546,0.11729616687766785,11851,0.05270200154867121,0.08318969775476298,13101,1800.6990966796875,1828.2271728515625,3,75,tanh,64,50,50,64
240,0.06780114942478119,0.0999401655161226,81601,0.05048320335173739,0.08887208403214292,73526,2159.00537109375,2552.9375,3,200,relu,32,200,75,128
241,0.10901459510393913,0.12104856697325649,92101,0.03366908933918379,0.05802681879295407,91801,4442.65234375,4368.330078125,2,300,tanh,32,200,100,32
242,0.06200202232325776,0.09819037519409887,17551,0.05329622334707182,0.07929110106913648,38401,8132.291015625,8153.36962890625,4,75,tanh,128,50,100,64
243,0.1338377917905459,0.17554227469079905,6151,0.04563180819631744,0.07981377628478999,152401,1686.1051025390625,2093.42041015625,2,75,relu,32,300,100,128
244,0.04368123652408014,0.07220768900684064,121801,0.050859434533285404,0.08003322237823758,142276,9534.287109375,9515.984375,4,200,tanh,32,75,200,64
245,0.08475309035453547,0.11676884747370934,41401,0.061912443892444165,0.09256970790065339,23876,6095.7158203125,6054.81103515625,2,200,relu,64,50,75,128
246,0.08673332097478065,0.11804501571039733,17551,0.046965661455495536,0.07637917735383479,85726,10305.666015625,10318.2080078125,4,75,tanh,32,75,150,32
247,0.0907697324489553,0.12645291160880315,23551,0.05625118980730692,0.08585943867940449,142276,8448.7294921875,8431.703125,2,150,relu,64,75,200,128
248,0.0769205344233734,0.10709255472948928,10701,0.04024033355692522,0.06825992416955884,114601,2047.18115234375,2306.362060546875,2,100,relu,128,300,50,64
249,0.08953114883854152,0.10832042145356774,41401,0.05800993593898536,0.0867855175980813,69001,2167.727294921875,2102.733642578125,2,200,relu,32,150,100,128
250,0.0684169267346112,0.09170036632065029,81601,0.058783672270514474,0.08097807808742441,13101,4215.75390625,4328.35107421875,3,200,tanh,128,50,50,128
251,0.11613045414949709,0.13746732279013027,23551,0.049389567255331446,0.08048597391010129,29026,2136.001953125,2135.505859375,2,150,tanh,32,75,75,64
252,0.08430601105361067,0.10275616274387141,20801,0.05110280659443265,0.08429057175780091,114301,5465.9072265625,5495.234375,3,100,relu,128,150,150,128
253,0.06694282707277312,0.09319099875040583,81601,0.0379375272738694,0.11503605094394088,174601,8693.0009765625,8618.078125,3,200,relu,128,150,200,32
254,0.11315448405330292,0.15167443625276172,6151,0.039767969565225283,0.06911105397666158,51201,5321.26806640625,4866.3818359375,2,75,relu,64,100,100,32
255,0.13997011822260585,0.1583183873679613,2851,0.05001441327506957,0.08114984463634664,85726,9059.8896484375,9036.076171875,2,50,tanh,128,75,150,64
256,0.10595387987940794,0.11513696212574584,92101,0.05221367231191505,0.08606472532969725,23401,1112.5042724609375,1091.09375,2,300,tanh,64,100,50,128
257,0.05368260028196883,0.09182385935132906,121801,0.054033000215110934,0.08355600531365297,35426,4015.138916015625,4181.17529296875,4,200,relu,32,100,75,128
258,0.11409461633175305,0.1528339491218813,10701,0.04739903839242424,0.0811944692398018,51976,2305.083740234375,2587.808349609375,2,100,relu,32,150,75,128
259,0.1056048817339524,0.14149050628769264,5401,0.04599916637965968,0.0777519872834922,13101,2727.488525390625,3023.8330078125,3,50,relu,32,50,50,32
